Comment,Designator,Footprint,LCSC Part #
HLK-PM01,U1,HLK-PM01,
5x20mm Fuse,F1,Fuseholder_Clip-5x20mm,
MOV 14D471,MOV1,MOV_Disc,
AMS1117-3.3,U2,SOT-223,
10uF,"C1,C2",C_ThroughHole,
0.1uF,C3,C_ThroughHole,
ESP Module,U3,ESP_Module,
Relay 5V,"K1, K2, K3",Relay_THT,
BC547,"Q1, Q2, Q3",TO-92,
1N4007,"D1, D2 ,D3",DO-41,
Terminal Block (2-pin),"J1, J3, J4",TerminalBlock_2pin,
Terminal Block (4-pin),J2,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
1k,R1 R2 R3,Resistor_THT,
10k,R4 R5 R6,Resistor_THT,
LED,LED1 LED2,LED_THT,
330?,R7 R8,Resistor_THT,
Test Point,TP1 TP2,TestPoint,
